time,places,tweet
2023-02-09 03:46:01,"Los Angeles, CA","Everything we know about the iPhone 15 lineup so far:

iPhone 15/15 Plus:
📱 6.1” and 6.7” sizes
🏝️ Dynamic Island
🆕 New design with 2.5D glass
📸 48MP wide camera
⚡️ A16 chip
☁️ 6GB RAM
🔌 USB-C port (Same Lightning speeds)

iPhone 15 Pro/Pro Max:
📱 6.1” and 6.7” sizes
🏝️… https://t.co/EAQhKIKaYc https://t.co/E4zgfe6y3Q"
2023-02-10 16:48:51,,IPHONE IPHONE 🕯🕯🕯🕯🕯 https://t.co/iaUw4EpmWy
2023-02-10 16:48:47,"Brooklyn, NY",The Do not disturb setting on iPhone is so incredible.
2023-02-10 16:48:43,"4th Crescent, Asylum Down ","If we look at the world with a love of life, the world will reveal its beauty to us.
Tyler &amp; Aileen's wedding at the dome!

#BBTitans #KingOfTheTitans #ChristianAtsu |Yemi|iPhone #weddings #daterush https://t.co/zx8qLUW65c"
2023-02-10 16:48:43,,"@jereme_drake @FoxNews @NEWSMAX @Samsung @elonmusk You can also get the FREE Newsmax app on your iPhone. I use Amazon Fire Stick. Free on Ruko channel and free on Pluto TV app. In fact, I cut the internet cord about 5 years ago. Get all my tv via Fire Stick."
2023-02-10 16:48:32,,not the iPhone and height estimation 😭😭 https://t.co/ffbWEFf2Wk
2023-02-10 16:48:29,United States,"@ICC IQ Test for Everyone 
Here is iQ test  everyone can participate here .if anyone wins the iq test .you will be gifted an iphone 14 pro . click on the link to participate . https://t.co/9yB39hTeLe"
2023-02-10 16:48:23,,@LM22Priv So annoying. Should have kept the iphone gift with me
2023-02-10 16:48:14,"Manhattan Beach, CA","Come join at KelbyOne's next conference, where I'll be joined by some amazing photographers, including @ricksammon @erikkuna @photoserge @LisaCarneyArt @terryleewhite @ScottKelby @frederickvan Link: https://t.co/wfrGBdvEeN https://t.co/YNYwYC8caK"
2023-02-10 16:48:11,Louisville,@metalheadprntg @3dpNero Wow my iPhone hates photos of the old screen it’s better than that picture shows.
2023-02-10 16:48:08,"Guadalajara, Jalisco","Happy 10th Anniversary, @DocumentsApp! 🎉 Get more from your iPhone and iPad 🚀 #10YearsOfDocuments #ForeverInnovating #100milliondownloads #12millionusers https://t.co/HE6a5FHj7k"
2023-02-10 16:48:06,,"@MilkyWayBooks @MorePerfectUS Let's say the highest-selling model, the iPhone 6. Could the average worker today buy more or fewer iPhone 6s than the average worker in 1965?"
2023-02-10 16:48:06,,"The Vatican has declared that you cannot confess your sins via an iPhone app, but they still do exorcisms, if you want to know where they stand on this being the 21st century.

[ Still can't do exorcisms over the iPhone, I should clarify ]"
2023-02-10 16:48:02,,@VicLombardi @meghanpayton7 @SeanPayton Android is way better than iPhone vic come on now the only negative is your texts come up green instead of blue
2023-02-10 16:48:01,,@dox_gay My mom: *has a red iphone* 😳
2023-02-10 16:47:58,United States,"@SenTedCruz IQ Test for Everyone 
Here is iQ test  everyone can participate here .if anyone wins the iq test .you will be gifted an iphone 14 pro . click on the link to participate . https://t.co/9yB39hTeLe"
2023-02-10 16:47:57,,To update the software on my iPhone…I have to allow this. Seriously??? https://t.co/5hFhybyBBN
2023-02-10 16:47:56,"Ikeja, Nigeria","Used iPhone 8plus 64GB - N120,000

Upgrade your phone and devices
Do this via #buy or #swap with @phonehubb 
GuaranteedSavings on quality devices 

You can also #PaySmallSmall 😁
HubbSupport - 
Protect your devices against damage, and down-time, get a device protection plan t… https://t.co/bHdHtAZADp"
2023-02-10 16:47:52,"Delta,Nigeria","@Brah_Georgey Yeah
They’ll cos they owned an iPhone."
2023-02-10 16:47:48,The world ,Getting info plot on data get a iphone
2023-02-10 16:47:47,United States,"@classicshirts IQ Test for Everyone 
Here is iQ test  everyone can participate here .if anyone wins the iq test .you will be gifted an iphone 14 pro . click on the link to participate . https://t.co/9yB39hTeLe"
2023-02-10 16:47:41,"Lagos, Nigeria",@Mene_Adaobi @VictorIsrael_ I need one ooo for iPhone 11
2023-02-10 16:47:38,New Orleans,"With the long distance help of Beloved Son (who was possibly muttering “OK Boomer” under his breath), I reported E’s iPhone stolen to Apple Care while E was still asleep. 2 biz days to process, then they mail new phone."
2023-02-10 16:47:35,United States,"@AntiWhiteWatch1 IQ Test for Everyone 
Here is iQ test  everyone can participate here .if anyone wins the iq test .you will be gifted an iphone 14 pro . click on the link to participate . https://t.co/9yB39hTeLe"
2023-02-10 16:47:27,,@zyzzVen @PirateStyle7 @TheNBACentral @TMZ_Sports And how’s that trouble tell me. How that’s trouble I’ll wait. Dude if you are using an iPhone and you rocking Jordan’s don’t talk to me. Or using any product that has made in China say nothing about China or Lebron
2023-02-10 16:47:21,"Surrey, British Columbia",@DhananjayDeore4 @yabhishekhd Yeah I have no problem with this at all. iPhone cables are the best and long lasting. Even if they break I can repair. Always the third party ones that fail
2023-02-10 16:47:18,United States,"@MutualofAmerica IQ Test for Everyone 
Here is iQ test  everyone can participate here .if anyone wins the iq test .you will be gifted an iphone 14 pro . click on the link to participate . https://t.co/9yB39hTeLe"
2023-02-10 16:47:18,,"@BoggisEdward Or if you use an iPhone or iPad, you can speak to our Apple Messages team. If you copy the link below in to your Safari, scroll down until you see the option for ‘Apple Messages’ and follow the instructions. The team are around 24/7
👉https://t.co/1bhvozREDw 4/6"
2023-02-10 16:47:18,Kent,Does anyone lease find @AppleMusic infuriating in their crass attempts to prevent direct downloads of songs to their iPhone iPad apps unless it is via Apple Music. Eg anor web source. They force you to connect to a computer. Why won’t they let you download directly to the device?
2023-02-10 14:14:03,"Marietta, GA","Storm To Bring Heavy Rain, Some Snow

From The Weather Channel iPhone App https://t.co/g1IKxuDiRd https://t.co/X8vtCU25kA"
2023-02-10 14:13:53,,"Rare things

https://t.co/o8DlpZ1ztI

#Japan 
#handsome 
#INDvAUS 
#Comeback 
#iPhone 
#HBLPSL8 
#ValentinesDay 
#PSL2023
#PSLAnthem https://t.co/PK1kw2grDW"
2023-02-10 14:13:49,"Lancaster, PA","Oh wow 10 years?! That’s awesome! I use this app on both my iPhone and iPad. I feel like I’ve been using for that long too. Just love this app so much! Happy 10 year anniversary, @DocumentsApp!!! https://t.co/EXPwM2YEwb"
2023-02-10 14:13:48,Ontario,"@r_tahj @Jody_McFly It’s from Jovan article. If you use an iPhone you can press ‘show reader’ to read the full article 

https://t.co/dOapO5nkdF"
2023-02-10 14:13:48,Chicago,@53viroqua How did you get such an amazing shot? Definitely not iPhone.
2023-02-10 14:13:47,Tar Heel State,I believe that the iPhone 14 series isn't the smash hit Tim Apple thought it would be with all these tweets of the screen becoming unresponsive. I'll try to kill my 13 Pro running iOS 16.3 to see what happens
2023-02-10 14:13:45,,@JackStatTips Thanks for the fast dm. I'm  on! Eagerly waiting android app or i might buy iphone as I'm  missing out!!
2023-02-10 14:13:41,91 Golders Green Road London,"MacBook Repair London - Laptop &amp; PC Repair - Walking Service
🌐 https://t.co/tr3rv2MDXH
#Laptop #Computer #Apple #Desktop #PC #MacBook #MacBookRepair #lcd #London #iPhone #Samsung #Mobile #computerrepair #iMac #smartwatches #technology #gadgets  #iphonescreen #iphonescreenrepair https://t.co/fK8yYeT4z0"
2023-02-10 14:13:41,"Ticino, Switzerland",A late dynamic portrait of #iPhone user #art https://t.co/t5IEZGxWU6
2023-02-10 14:13:30,,"Happy 10th Anniversary, @DocumentsApp! 🎉 Get more from your iPhone and iPad 🚀 #10YearsOfDocuments #ForeverInnovating #100milliondownloads #12millionusers https://t.co/M87y3o6mW8"
2023-02-10 14:13:09,,@dinosaurs1969 Bro it fake did you know he buy the account or old@iPhone get this account also he a kid get sub and join YouTube that is dumb ideas also he try sacmm us
2023-02-10 14:13:00,,"Happy 10th Anniversary, @DocumentsApp! 🎉 Get more from your iPhone and iPad 🚀 #10YearsOfDocuments #ForeverInnovating #100milliondownloads #12millionusers https://t.co/TRZ0DnZuq2"
2023-02-10 14:13:00,,"@#apple That would be cool if, on iPhone, in the next update, you could name alarms as a feature. Also that would be cool to have a search bar to search settings."
2023-02-10 14:12:58,Texas,No @Google @sundarpichai I will mot finish setting up my iPhone w/your spyware. Stop sending me the email.
2023-02-10 14:12:53,,@nate_the_ivth Damn iPhone picking words for me
2023-02-10 14:12:41,,"@limneos Hello friend, I am asking you to fix the ""AudioRecorder XS"" tweak with an update, this tweak destroys the camera and it looks blurry, where can I take a picture, after I uninstalled this tweak, the camera on my iPhone was fixed, the jealbrek is Xina.
See video https://t.co/uy3X51lbdX"
2023-02-10 14:12:31,,@RealChiefPriest Iphone 🙏..It will help me to snap Sharp pictures for my online business
2023-02-10 14:12:30,http://127.0.0.1:8000/,"@_svs_ @ServifyHQ @Cashify_ is really good, sold 2 laptops with them recently and a relative got their iPhone repaired, all transactions good. This all in Nagpur and Pune for context."
